Review,Sentiment
"Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.",1
"I was disgusted because I was pretty sure that was human hair.",0
"Service is also cute.",1
"I could care less... The interior is just beautiful.",1
"Overall, I like this place a lot.",1
"On a positive note, our server was very attentive and provided great service.",1
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
"Great food and service, huge portions and they give a military discount.",1
"There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.",0
"In summary, this was a largely disappointing dining experience.",0
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1
"Good prices.",1
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0
"I came back today since they relocated and still not impressed.",0
"Restaurant is always full but never a wait.",1
"I've never been treated so bad.",0
"I ordered the Lemon raspberry ice cocktail which was also incredible.",1
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1
"Great brunch spot.",1
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0
"The Jamaican mojitos are delicious.",1
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0
"Good service, very clean, and inexpensive, to boot!",1
"You can't beat that.",1
"This place is not quality sushi, it is not a quality restaurant.",0
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0
"She ordered a toasted English muffin that came out untoasted.",0
"Both of them were truly unbelievably good, and I am so glad we went back.",1
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0
"Best fish I've ever had in my life!",1
"Definitely a turn off for me & i doubt I'll be back unless someone else is buying.",0
"My wife had the Lobster Bisque soup which was lukewarm.",0
